City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,uhlove,44.8215,33.6045,69.03,74,0,8.7,UA,06/30/23
264,port lincoln,-34.7333,135.8667,52.14,84,100,3.76,AU,06/30/23
265,fortuna,40.5982,-124.1573,69.93,75,0,13.8,US,06/30/23
266,linhares,-19.3911,-40.0722,69.26,79,24,6.62,BR,06/30/23
267,along,28.1667,94.7667,74.39,98,100,1.39,IN,06/30/23
268,portland,45.5234,-122.6762,85.55,49,0,10.36,US,06/30/23
269,ust-kuyga,70.0167,135.6,44.82,55,82,9.33,RU,06/30/23
270,shache,38.4167,77.2406,77.72,29,98,7.45,CN,06/30/23
271,yellowknife,62.456,-114.3525,72.12,64,75,10.36,CA,06/30/23
272,senanga,-16.1167,23.2667,59.0,35,52,5.82,ZM,06/30/23
273,le port,-20.9373,55.2919,67.96,80,26,4.99,RE,06/30/23
274,ajaccio,42.0,8.9167,73.45,68,75,11.5,FR,06/30/23
275,zhanaozen,43.3,52.8,76.87,48,17,8.28,KZ,06/30/23
276,oranjemund,-28.55,16.4333,56.35,83,0,8.28,NA,06/30/23
277,guanare,9.0418,-69.7421,86.02,93,100,10.36,VE,06/30/23
278,colares,38.7992,-9.4469,71.28,62,0,30.0,PT,06/30/23
279,auki,-8.7676,160.7034,79.34,85,100,4.92,SB,06/30/23
280,kismayo,-0.3582,42.5454,77.0,80,80,14.14,SO,06/30/23
281,valleyview,55.0667,-117.2859,71.64,49,68,6.91,CA,06/30/23
282,fort stewart,31.8722,-81.61,94.03,51,20,4.61,US,06/30/23
283,lazarev,52.225,141.5131,49.55,95,53,8.1,RU,06/30/23
284,geraldton,-28.7667,114.6,45.01,70,0,10.36,AU,06/30/23
285,luanda,-8.8368,13.2343,71.6,83,75,6.91,AO,06/30/23
286,aden,12.7794,45.0367,86.41,74,61,7.52,YE,06/30/23
287,dandong,40.1292,124.3947,68.13,88,1,3.0,CN,06/30/23
288,almansa,38.8692,-1.0971,70.63,64,32,5.19,ES,06/30/23
289,northport,33.229,-87.5772,97.12,51,0,0.0,US,06/30/23
290,taltal,-25.4,-70.4833,63.21,73,24,1.59,CL,06/30/23
291,banda aceh,5.5577,95.3222,75.38,94,100,14.25,ID,06/30/23
292,sur,22.5667,59.5289,88.38,66,68,12.28,OM,06/30/23
293,chapleau,47.8405,-83.4034,68.09,88,100,3.44,CA,06/30/23
294,nuqui,5.7125,-77.2708,83.98,83,96,7.76,CO,06/30/23
295,tevaitoa,-16.7833,-151.5,80.35,75,11,23.33,PF,06/30/23
296,labuhan,-6.8844,112.2051,76.77,85,94,8.3,ID,06/30/23
297,bubaque,11.2833,-15.8333,81.95,78,100,3.53,GW,06/30/23
298,xichang,27.8964,102.2634,69.08,93,94,2.21,CN,06/30/23
299,potsdam,52.3989,13.0657,65.01,88,95,4.07,DE,06/30/23
300,mount isa,-20.7333,139.5,55.17,50,100,11.5,AU,06/30/23
301,copiapo,-27.3667,-70.3333,58.69,35,27,3.78,CL,06/30/23
302,codrington,-38.2667,141.9667,51.87,75,100,13.18,AU,06/30/23
303,sosenskiy,54.059,35.9623,54.66,97,100,7.31,RU,06/30/23
304,xuddur,4.1213,43.8894,72.41,75,100,15.95,SO,06/30/23
305,coihaique,-45.5752,-72.0662,37.35,87,75,4.61,CL,06/30/23
306,hohhot,40.8106,111.6522,62.89,51,0,6.71,CN,06/30/23
307,mayor pablo lagerenza,-19.9309,-60.7718,82.63,33,0,5.08,PY,06/30/23
308,am timan,11.0297,20.2827,82.72,61,97,7.36,TD,06/30/23
309,bathsheba,13.2167,-59.5167,86.61,79,40,19.57,BB,06/30/23
310,richards bay,-28.783,32.0377,62.55,81,0,3.6,ZA,06/30/23
311,raudeberg,61.9875,5.1352,56.07,73,14,3.27,NO,06/30/23
312,kuytun,54.3419,101.5036,51.62,78,100,2.59,RU,06/30/23
313,bukama,-9.2,25.85,72.05,28,11,1.83,CD,06/30/23
314,cabedelo,-6.9811,-34.8339,77.67,82,8,14.32,BR,06/30/23
315,adre,13.4667,22.2,87.93,33,9,7.58,TD,06/30/23
316,road town,18.4167,-64.6167,86.09,74,40,6.91,VG,06/30/23
317,veinticinco de mayo,-35.4323,-60.1727,55.98,53,13,1.99,AR,06/30/23
318,nemuro,43.3236,145.575,55.78,100,100,7.34,JP,06/30/23
319,lithgow,-33.4833,150.15,39.65,82,91,11.68,AU,06/30/23
320,caravelas,-17.7125,-39.2481,72.48,78,4,9.08,BR,06/30/23
321,souillac,-20.5167,57.5167,70.18,64,40,11.5,MU,06/30/23
322,fort-shevchenko,44.5086,50.263,76.17,73,87,17.56,KZ,06/30/23
323,dalby,-27.1833,151.2667,40.41,85,88,6.02,AU,06/30/23
